architecture,start_type,operation,language,memory_size,execution_time_ms,max_memory_usage_mb,init_duration_ms,billed_duration_ms
x86,cold,aes256_decrypt,python,128,266.62,88,0.0,267
x86,cold,aes256_decrypt,python,128,182.76,88,0.0,183
x86,cold,aes256_decrypt,python,128,188.71,88,0.0,189
x86,cold,aes256_decrypt,python,128,202.93,88,0.0,203
x86,cold,aes256_decrypt,python,128,194.8,88,0.0,195
x86,cold,aes256_decrypt,python,128,157.34,88,0.0,158
x86,cold,aes256_decrypt,python,128,201.05,88,0.0,202
x86,cold,aes256_decrypt,python,128,200.45,88,0.0,201
x86,cold,aes256_decrypt,python,128,148.86,88,0.0,149
x86,cold,aes256_decrypt,python,128,153.87,88,0.0,154
x86,cold,aes256_decrypt,python,128,219.28,88,0.0,220
x86,cold,aes256_decrypt,python,128,211.32,88,0.0,212
x86,cold,aes256_decrypt,python,128,222.71,89,0.0,223
x86,cold,aes256_decrypt,python,128,202.61,89,0.0,203
x86,cold,aes256_decrypt,python,128,207.23,89,0.0,208
x86,cold,aes256_decrypt,python,128,216.94,89,0.0,217
x86,cold,aes256_decrypt,python,128,193.74,89,0.0,194
x86,cold,aes256_decrypt,python,128,194.36,89,0.0,195
x86,cold,aes256_decrypt,python,128,187.94,89,0.0,188
x86,cold,aes256_decrypt,python,128,196.17,89,0.0,197
x86,cold,aes256_decrypt,python,128,194.9,89,0.0,195
x86,cold,aes256_decrypt,python,128,188.47,89,0.0,189
x86,cold,aes256_decrypt,python,128,168.58,89,0.0,169
x86,cold,aes256_decrypt,python,128,223.93,89,0.0,224
x86,cold,aes256_decrypt,python,128,219.56,89,0.0,220
x86,cold,aes256_decrypt,python,128,216.78,89,0.0,217
x86,cold,aes256_decrypt,python,128,167.73,89,0.0,168
x86,cold,aes256_decrypt,python,128,187.15,89,0.0,188
x86,cold,aes256_decrypt,python,128,190.52,89,0.0,191
x86,cold,aes256_decrypt,python,128,195.78,89,0.0,196
arm,cold,aes256_decrypt,python,128,1716.33,84,374.31,1717
arm,cold,aes256_decrypt,python,128,216.0,85,0.0,216
arm,cold,aes256_decrypt,python,128,211.96,85,0.0,212
arm,cold,aes256_decrypt,python,128,230.8,85,0.0,231
arm,cold,aes256_decrypt,python,128,223.27,85,0.0,224
arm,cold,aes256_decrypt,python,128,224.94,85,0.0,225
arm,cold,aes256_decrypt,python,128,232.76,85,0.0,233
arm,cold,aes256_decrypt,python,128,223.76,86,0.0,224
arm,cold,aes256_decrypt,python,128,196.6,86,0.0,197
arm,cold,aes256_decrypt,python,128,171.6,86,0.0,172
arm,cold,aes256_decrypt,python,128,238.68,86,0.0,239
arm,cold,aes256_decrypt,python,128,570.27,86,0.0,571
arm,cold,aes256_decrypt,python,128,223.78,86,0.0,224
arm,cold,aes256_decrypt,python,128,198.11,86,0.0,199
arm,cold,aes256_decrypt,python,128,211.12,86,0.0,212
arm,cold,aes256_decrypt,python,128,200.67,86,0.0,201
arm,cold,aes256_decrypt,python,128,206.71,86,0.0,207
arm,cold,aes256_decrypt,python,128,210.5,86,0.0,211
arm,cold,aes256_decrypt,python,128,217.38,86,0.0,218
arm,cold,aes256_decrypt,python,128,200.87,86,0.0,201
arm,cold,aes256_decrypt,python,128,205.63,86,0.0,206
arm,cold,aes256_decrypt,python,128,179.13,86,0.0,180
arm,cold,aes256_decrypt,python,128,219.06,86,0.0,220
arm,cold,aes256_decrypt,python,128,193.89,86,0.0,194
arm,cold,aes256_decrypt,python,128,213.46,86,0.0,214
arm,cold,aes256_decrypt,python,128,204.94,86,0.0,205
arm,cold,aes256_decrypt,python,128,194.64,87,0.0,195
arm,cold,aes256_decrypt,python,128,223.08,87,0.0,224
arm,cold,aes256_decrypt,python,128,236.35,87,0.0,237
arm,cold,aes256_decrypt,python,128,208.37,87,0.0,209
x86,cold,aes256_decrypt,python,512,433.82,86,425.88,434
x86,cold,aes256_decrypt,python,512,61.66,86,0.0,62
x86,cold,aes256_decrypt,python,512,60.97,86,0.0,61
x86,cold,aes256_decrypt,python,512,65.16,87,0.0,66
x86,cold,aes256_decrypt,python,512,49.3,87,0.0,50
x86,cold,aes256_decrypt,python,512,46.97,87,0.0,47
x86,cold,aes256_decrypt,python,512,49.0,87,0.0,50
x86,cold,aes256_decrypt,python,512,48.96,87,0.0,49
x86,cold,aes256_decrypt,python,512,57.61,87,0.0,58
x86,cold,aes256_decrypt,python,512,52.56,87,0.0,53
x86,cold,aes256_decrypt,python,512,49.42,87,0.0,50
x86,cold,aes256_decrypt,python,512,130.64,88,0.0,131
x86,cold,aes256_decrypt,python,512,50.2,88,0.0,51
x86,cold,aes256_decrypt,python,512,47.26,88,0.0,48
x86,cold,aes256_decrypt,python,512,43.51,88,0.0,44
x86,cold,aes256_decrypt,python,512,48.75,88,0.0,49
x86,cold,aes256_decrypt,python,512,39.62,88,0.0,40
x86,cold,aes256_decrypt,python,512,60.11,88,0.0,61
x86,cold,aes256_decrypt,python,512,46.53,88,0.0,47
x86,cold,aes256_decrypt,python,512,62.59,88,0.0,63
x86,cold,aes256_decrypt,python,512,51.34,88,0.0,52
x86,cold,aes256_decrypt,python,512,52.93,88,0.0,53
x86,cold,aes256_decrypt,python,512,56.9,88,0.0,57
x86,cold,aes256_decrypt,python,512,48.42,88,0.0,49
x86,cold,aes256_decrypt,python,512,61.67,88,0.0,62
x86,cold,aes256_decrypt,python,512,47.58,88,0.0,48
x86,cold,aes256_decrypt,python,512,36.43,88,0.0,37
x86,cold,aes256_decrypt,python,512,36.24,88,0.0,37
